batter,sr_dth,sr_mid,sr_pp,runs,career_sr,matches,sr_pp_n,sr_mid_n,sr_dth_n,career_sr_n,perf_score,sr_best,sr_worst,phase_gap
A Badoni,164.53,126.23,,1177,141.13,56,,42.38410596026492,56.81198910081744,39.7932639649507,46.53,164.53,126.23,38.3
A Mishra,104.44,,,380,91.13,55,,,11.33060853769301,5.565443592552022,7.58,104.44,104.44,0.0
A Raghuvanshi,,141.34,,885,146.04,30,,60.253074739829714,,43.15443592552025,48.28,141.34,141.34,0.0
A Symonds,160.44,126.61,,973,130.6,36,,42.833491012298964,53.71631849833484,32.584884994523534,43.06,160.44,126.61,33.8
AB de Villiers,221.59,131.32,120.68,5148,151.41,170,29.071009076348105,48.4035004730369,99.99999999999999,46.83050383351588,59.7,221.59,120.68,100.9
AC Gilchrist,,143.76,133.72,2046,137.96,80,37.77362520021356,63.114947965941326,,37.62322015334064,45.32,143.76,133.72,10.0
AD Mathews,154.38,,,722,126.0,41,,,49.129579170451095,29.43592552026287,36.33,154.38,154.38,0.0
AD Russell,195.72,153.06,,2632,174.54,114,,74.11305581835384,80.4193157735392,62.6642935377875,72.31,195.72,153.06,42.7
AJ Finch,158.43,136.47,114.3,2083,128.11,90,24.813134009610238,54.4938505203406,52.194974265818956,30.880339539978095,43.3,158.43,114.3,44.1
AK Markram,,128.32,129.6,1664,135.5,66,35.02402562733582,44.85572374645221,,35.93921139101862,38.29,129.6,128.32,1.3
AM Nayar,157.44,96.74,,664,115.88,50,,7.509460737937545,51.44565546472903,22.508214676889367,28.14,157.44,96.74,60.7
AM Rahane,158.26,122.82,123.18,5365,125.67,197,30.739455419113725,38.351466414380326,52.06630336058129,29.210021905805036,40.49,158.26,122.82,35.4
AR Patel,153.68,119.47,,2075,133.35,134,,34.389782403027425,48.59975779594309,34.467415115005466,39.39,153.68,119.47,34.2
AT Rayudu,169.08,120.9,106.04,4325,127.54,185,19.300587293112656,36.08088930936614,60.25582803511959,30.490142387732746,38.67,169.08,106.04,63.0
Abdul Samad,169.66,,,854,148.52,58,,,60.69482288828338,44.85213581599123,50.4,169.66,169.66,0.0
Abhishek Sharma,,174.95,172.16,2371,171.44,89,63.42765616657768,100.0,,60.542168674698786,73.39,174.95,172.16,2.8
Abishek Porel,,,147.49,768,145.45,33,46.96342765616657,,,42.75054764512595,44.23,147.49,147.49,0.0
Ashutosh Sharma,193.4,,,557,169.82,26,,,78.66333636088406,59.43318729463307,66.16,193.4,193.4,0.0
B Kumar,97.23,,,354,94.15,75,,,5.8734483802603705,7.632803943044905,7.02,97.23,97.23,0.0
B Sai Sudharsan,,147.74,139.04,2496,149.1,57,41.324079017618786,67.82166508987703,,45.24917853231105,50.65,147.74,139.04,8.7
BA Stokes,,125.45,,934,134.39,43,,41.4616840113529,,35.17935377875135,37.06,125.45,125.45,0.0
BB McCullum,,131.13,127.12,2857,131.3,109,33.368926855312324,48.17880794701986,,33.06407447973713,37.71,131.13,127.12,4.0
BJ Hodge,164.4,111.0,,1399,125.81,63,,24.37322611163671,56.713593702694524,29.30585980284775,37.42,164.4,111.0,53.4
C Green,,139.39,,1021,150.81,42,,57.94701986754964,,46.4197699890471,49.88,139.39,139.39,0.0
CA Lynn,,137.3,143.95,1317,139.96,42,44.600907634810454,55.475402081362375,,38.99233296823658,45.9,143.95,137.3,6.6
CA Pujara,,,94.3,390,100.0,22,11.465563267485308,,,11.637458926615551,11.58,94.3,94.3,0.0
CH Gayle,201.07,155.88,135.33,4956,148.78,141,38.84810464495462,77.44796594134343,84.46866485013622,45.03012048192771,66.4,201.07,135.33,65.7
CH Morris,165.99,,,612,154.16,49,,,57.91704511050561,48.713033953997794,51.93,165.99,165.99,0.0
CL White,186.98,110.47,,962,127.08,45,,23.746452223273423,73.80411746896759,30.17524644030668,43.52,186.98,110.47,76.5
D Brevis,,144.63,,606,146.02,24,,64.1438032166509,,43.1407447973713,49.44,144.63,144.63,0.0
D Padikkal,,131.71,133.62,2266,133.29,89,37.706887346502924,48.86471144749291,,34.42634173055859,39.91,133.62,131.71,1.9
DA Miller,174.22,121.97,,3273,139.34,143,,37.346263008514654,64.14623069936421,38.56790799561884,47.15,174.22,121.97,52.2
DA Warner,178.41,134.45,138.22,6537,139.68,184,40.77682861719167,52.1050141911069,67.31759006963365,38.800657174151155,53.46,178.41,134.45,44.0
DJ Bravo,173.64,92.46,,1546,129.26,110,,2.447965941343412,63.70723584620042,31.667579408543247,34.12,173.64,92.46,81.2
DJ Hooda,143.17,125.73,,1480,126.82,101,,41.79280983916746,40.64486830154404,29.9972617743702,37.26,143.17,125.73,17.4
DJ Hussey,176.42,107.16,,1316,122.99,61,,19.832071901608316,65.81138359067513,27.37541073384446,38.56,176.42,107.16,69.3
DP Conway,,152.49,126.16,1079,140.13,28,32.72824345969033,73.43897824030276,,39.108707557502726,47.17,152.49,126.16,26.3
DPMD Jayawardene,158.97,113.2,121.96,1806,123.53,78,29.925253603844084,26.974929044465483,52.603693611867996,27.745071193866366,36.98,158.97,113.2,45.8
DR Smith,,148.59,124.64,2379,135.56,88,31.71382808328883,68.82686849574267,,35.98028477546549,44.34,148.59,124.64,24.0
DT Christian,137.27,,,452,114.72,41,,,36.179231002119295,21.71412924424972,26.78,137.27,137.27,0.0
Dhruv Jurel,173.84,138.71,,1195,154.19,51,,57.14285714285717,63.858613381774134,48.73357064622124,56.55,173.84,138.71,35.1
E Lewis,,,146.85,654,137.11,26,46.53630539241857,,,37.04134720700986,40.36,146.85,146.85,0.0
EJG Morgan,164.33,111.39,,1406,122.58,74,,24.83443708609272,56.66061156524373,27.09474260679079,36.76,164.33,111.39,52.9
F du Plessis,180.57,126.15,136.29,4763,135.85,147,39.48878804057661,42.28949858088933,68.95246745382984,36.1788061336254,50.64,180.57,126.15,54.4
G Gambhir,144.86,123.61,121.59,4197,123.66,151,29.67832354511478,39.28571428571428,41.92400847714201,27.834063526834598,36.85,144.86,121.59,23.3
GC Smith,,,96.89,731,110.09,29,13.194073678590485,,,18.54463307776561,16.67,96.89,96.89,0.0
GJ Bailey,175.14,,,660,122.0,36,,,64.84256736300331,26.69769989047097,40.05,175.14,175.14,0.0
GJ Maxwell,178.4,152.71,140.13,2812,155.36,134,42.05152162306459,73.69914853358563,67.31002119285499,49.53450164293538,60.39,178.4,140.13,38.3
Gurkeerat Singh,154.94,,,511,121.09,32,,,49.55343627005752,26.07475355969332,34.29,154.94,154.94,0.0
H Klaasen,193.18,158.15,,2095,167.2,60,,80.13245033112585,78.49682107175296,57.63964950711937,71.69,193.18,158.15,35.0
HH Gibbs,,106.69,107.45,886,110.06,36,20.24159103043246,19.27625354777672,,18.524096385542165,19.35,107.45,106.69,0.8
HH Pandya,169.07,134.07,,2951,146.45,150,,51.65562913907283,60.2482591583409,43.43510405257392,51.79,169.07,134.07,35.0
HV Patel,131.48,,,280,117.65,44,,,31.79685134726006,23.71987951807229,26.55,131.48,131.48,0.0
Harbhajan Singh,150.61,,,824,137.56,88,,,46.27611262488648,37.34939759036145,40.47,150.61,150.61,0.0
IK Pathan,150.11,90.39,,1149,121.33,82,,0.0,45.89766878595218,26.23904709748082,25.25,150.11,90.39,59.7
Ishan Kishan,189.95,140.37,138.06,3591,143.7,127,40.67004805125467,59.10596026490066,76.05207387223736,41.55257393209199,58.58,189.95,138.06,51.9
JA Morkel,155.69,,,967,141.58,67,,,50.12110202845898,40.10131434830231,43.61,155.69,155.69,0.0
JC Archer,152.76,,,309,141.1,40,,,47.90342113230396,39.772727272727266,42.62,152.76,152.76,0.0
JC Buttler,192.96,143.54,141.87,4623,149.42,136,43.21276027762947,62.85477767265846,78.33030578262186,45.4682365826944,61.4,192.96,141.87,51.1
