bowler,econ_dth,econ_mid,econ_pp,wickets,career_econ,matches,econ_pp_n,econ_mid_n,econ_dth_n,career_econ_n,perf_score,econ_best,econ_worst,phase_gap
A Kamboj,,,9.28,31,9.69,25,21.70022371364655,,,15.733333333333348,17.52,9.28,9.28,0.0
A Kumble,7.44,6.59,,45,6.53,42,,87.47044917257682,96.58703071672355,100.0,95.33,6.59,7.44,0.9
A Mishra,9.21,6.92,,173,7.28,162,,79.6690307328605,66.38225255972694,80.0,73.79,6.92,9.21,2.3
A Nehra,8.68,7.23,7.34,106,7.69,88,65.1006711409396,72.34042553191486,75.42662116040955,69.06666666666666,71.56,7.23,8.68,1.4
A Nortje,9.86,,8.22,61,8.87,49,45.413870246085,,55.2901023890785,37.60000000000002,47.9,8.22,9.86,1.6
A Singh,10.1,,6.61,28,7.88,23,81.4317673378076,,51.19453924914677,64.00000000000003,63.47,6.61,10.1,3.5
A Symonds,,7.75,,20,7.7,30,,60.04728132387706,,68.80000000000001,66.61,7.75,7.75,0.0
A Zampa,,7.77,,31,8.26,22,,59.57446808510636,,53.866666666666674,55.29,7.77,7.77,0.0
AB Agarkar,9.96,7.81,,29,8.66,42,,58.62884160756499,53.58361774744026,43.20000000000002,51.73,7.81,9.96,2.2
AB Dinda,10.76,6.24,7.01,69,7.88,75,72.48322147651007,95.7446808510638,39.93174061433447,64.00000000000003,63.65,6.24,10.76,4.5
AD Mathews,8.71,7.8,,27,8.12,44,,58.86524822695034,74.91467576791808,57.60000000000002,65.71,7.8,8.71,0.9
AD Russell,10.59,9.01,8.06,123,9.31,121,48.99328859060401,30.260047281323864,42.83276450511946,25.866666666666646,41.54,8.06,10.59,2.5
AJ Tye,9.21,,,42,8.51,30,,,66.38225255972694,47.20000000000002,55.83,9.21,9.21,0.0
AR Patel,8.64,7.12,7.83,139,7.42,173,54.13870246085011,74.94089834515364,76.10921501706483,76.26666666666668,69.23,7.12,8.64,1.5
AS Rajpoot,,,8.93,24,8.96,29,29.530201342281885,,,35.19999999999999,33.5,8.93,8.93,0.0
Arshdeep Singh,9.53,8.7,8.51,111,8.88,95,38.92617449664431,37.58865248226951,60.92150170648466,37.333333333333314,48.49,8.51,9.53,1.0
Avesh Khan,9.46,8.12,9.52,93,9.09,82,16.331096196868003,51.300236406619376,62.11604095563138,31.73333333333335,45.68,8.12,9.52,1.4
Azhar Mahmood,9.39,,,29,7.6,23,,,63.31058020477815,71.4666666666667,67.8,9.39,9.39,0.0
B Kumar,9.14,8.46,6.46,226,7.59,206,84.78747203579417,43.262411347517684,67.57679180887371,71.73333333333335,66.66,6.46,9.14,2.7
B Lee,8.39,,6.81,25,7.27,38,76.95749440715883,,80.37542662116039,80.26666666666668,79.32,6.81,8.39,1.6
BA Stokes,9.68,7.44,,28,8.57,38,,67.37588652482268,58.361774744027315,45.599999999999994,56.79,7.44,9.68,2.2
BB Sran,,,8.87,18,8.99,24,30.87248322147653,,,34.400000000000006,33.34,8.87,8.87,0.0
BW Hilfenhaus,,,6.17,22,7.68,17,91.27516778523488,,,69.33333333333334,75.92,6.17,6.17,0.0
Basil Thampi,11.41,,,22,9.72,25,,,28.839590443686006,14.933333333333337,21.19,11.41,11.41,0.0
Bipul Sharma,,7.66,,16,7.97,28,,62.17494089834514,,61.60000000000002,61.74,7.66,7.66,0.0
C Green,,8.1,,23,9.2,39,,51.773049645390046,,28.80000000000001,34.54,8.1,8.1,0.0
CH Gayle,8.61,,,18,7.62,38,,,76.62116040955632,70.93333333333334,73.49,8.61,8.61,0.0
CH Morris,8.6,7.59,7.46,96,7.92,81,62.41610738255034,63.82978723404253,76.79180887372013,62.93333333333334,69.24,7.46,8.6,1.1
CJ Jordan,11.09,,,30,9.4,34,,,34.30034129692831,23.46666666666667,28.34,11.09,11.09,0.0
CR Woakes,10.56,,,30,8.86,21,,,43.3447098976109,37.8666666666667,40.33,10.56,10.56,0.0
CV Varun,8.74,7.36,7.86,110,7.66,94,53.467561521252776,69.26713947990541,74.40273037542661,69.86666666666667,66.84,7.36,8.74,1.4
DE Bollinger,7.36,,7.09,37,7.12,27,70.69351230425056,,97.95221843003412,84.26666666666668,86.35,7.09,7.36,0.3
DJ Bravo,9.1,7.35,7.61,183,8.15,158,59.06040268456374,69.50354609929076,68.25938566552901,56.80000000000001,65.81,7.35,9.1,1.8
DL Chahar,9.6,,7.86,96,8.05,103,53.467561521252776,,59.72696245733789,59.46666666666667,57.78,7.86,9.6,1.7
DL Vettori,8.07,6.52,,28,6.84,34,,89.12529550827423,85.83617747440272,91.73333333333335,88.43,6.52,8.07,1.6
DP Nannes,8.71,,6.02,28,7.08,29,94.63087248322148,,74.91467576791808,85.33333333333334,83.43,6.02,8.71,2.7
DR Smith,,7.85,,26,8.86,46,,57.683215130023626,,37.8666666666667,42.82,7.85,7.85,0.0
DS Kulkarni,9.58,8.3,7.4,86,8.03,92,63.75838926174495,47.04491725768318,60.06825938566553,60.00000000000003,57.92,7.4,9.58,2.2
DS Rathi,,8.59,,19,8.95,23,,40.18912529550826,,35.4666666666667,36.65,8.59,8.59,0.0
DT Christian,10.46,6.89,,38,7.98,49,,80.37825059101655,45.05119453924914,61.33333333333334,58.77,6.89,10.46,3.6
DW Steyn,8.12,6.49,6.07,97,6.75,95,93.51230425055928,89.83451536643025,84.98293515358364,94.13333333333335,88.75,6.07,8.12,2.0
E Malinga,9.85,,,33,8.94,22,,,55.46075085324233,35.73333333333335,44.61,9.85,9.85,0.0
GB Hogg,,7.43,,23,7.38,21,,67.61229314420802,,77.33333333333334,74.9,7.43,7.43,0.0
GD McGrath,,,5.78,12,6.67,14,100.0,,,96.26666666666668,97.39,5.78,5.78,0.0
GJ Maxwell,,7.97,8.49,41,8.16,85,39.37360178970917,54.846335697399525,,56.53333333333333,50.96,7.97,8.49,0.5
HH Pandya,11.7,8.16,9.58,82,9.15,116,14.98881431767336,50.35460992907798,23.890784982935145,30.133333333333326,27.84,8.16,11.7,3.5
HV Patel,9.51,7.79,8.95,151,8.56,121,29.082774049217022,59.10165484633566,61.2627986348123,45.866666666666674,51.07,7.79,9.51,1.7
Harbhajan Singh,8.11,6.89,7.03,146,7.02,160,72.03579418344518,80.37825059101655,85.15358361774744,86.93333333333337,80.02,6.89,8.11,1.2
Harmeet Singh,,7.52,,27,7.75,28,,65.48463356973994,,67.46666666666667,66.97,7.52,7.52,0.0
Harpreet Brar,,7.22,,37,7.88,48,,72.57683215130024,,64.00000000000003,66.14,7.22,7.22,0.0
Harshit Rana,9.44,,9.47,40,9.31,32,17.449664429530173,,62.45733788395904,25.866666666666646,39.81,9.44,9.47,0.0
I Sharma,10.45,8.61,7.27,96,8.12,117,66.66666666666669,39.71631205673759,45.22184300341297,57.60000000000002,50.28,7.27,10.45,3.2
IC Pandey,,,6.89,18,7.77,24,75.16778523489933,,,66.93333333333337,69.4,6.89,6.89,0.0
IK Pathan,9.3,7.71,6.89,80,7.72,101,75.16778523489933,60.992907801418426,64.84641638225256,68.26666666666668,66.98,6.89,9.3,2.4
Imran Tahir,8.97,7.15,,82,7.68,59,,74.23167848699762,70.47781569965869,69.33333333333334,71.07,7.15,8.97,1.8
Iqbal Abdulla,,7.35,6.24,40,7.17,48,89.70917225950782,69.50354609929076,,82.93333333333334,81.61,6.24,7.35,1.1
J Botha,,6.24,,25,6.91,34,,95.7446808510638,,89.86666666666667,91.34,6.24,6.24,0.0
J Suchith,,8.21,,19,8.39,21,,49.172576832151265,,50.400000000000006,50.09,8.21,8.21,0.0
JA Morkel,9.08,6.78,8.28,85,8.0,87,44.07158836689038,82.9787234042553,68.60068259385665,60.80000000000001,64.84,6.78,9.08,2.3
JC Archer,9.71,,7.09,84,7.98,68,70.69351230425056,,57.84982935153582,61.33333333333334,62.57,7.09,9.71,2.6
JD Unadkat,10.76,8.32,7.87,114,8.85,115,53.24384787472036,46.57210401891251,39.93174061433447,38.133333333333354,45.59,7.87,10.76,2.9
JH Kallis,9.92,7.31,7.15,65,7.8,89,69.35123042505592,70.44917257683215,54.26621160409556,66.13333333333335,62.84,7.15,9.92,2.8
JJ Bumrah,8.07,6.5,6.7,190,7.18,158,79.41834451901565,89.5981087470449,85.83617747440272,82.66666666666669,84.85,6.5,8.07,1.6
JO Holder,9.38,7.59,8.55,70,8.36,57,38.031319910514526,63.82978723404253,63.48122866894195,51.20000000000002,55.93,7.59,9.38,1.8
JP Behrendorff,,,8.3,19,8.95,17,43.62416107382549,,,35.4666666666667,37.91,8.3,8.3,0.0
JP Duminy,,6.86,,23,7.21,48,,81.08747044917254,,81.86666666666667,81.67,6.86,6.86,0.0
JP Faulkner,9.92,8.08,7.76,61,8.68,60,55.70469798657717,52.24586288416074,54.26621160409556,42.666666666666686,54.19,7.76,9.92,2.2
JR Hazlewood,10.09,,8.04,72,8.6,52,49.44071588366893,,51.365187713310576,44.80000000000001,49.15,8.04,10.09,2.1
K Gowtham,,7.65,8.62,20,8.31,35,36.46532438478749,62.41134751773046,,52.53333333333333,50.18,7.65,8.62,1.0
K Rabada,9.47,7.55,8.69,151,8.66,101,34.899328859060404,64.77541371158392,61.94539249146757,43.20000000000002,54.54,7.55,9.47,1.9
KA Pollard,10.4,7.82,,68,8.45,107,,58.392434988179645,46.07508532423208,48.80000000000004,49.97,7.82,10.4,2.6
KH Pandya,8.38,7.2,7.83,105,7.42,147,54.13870246085011,73.0496453900709,80.54607508532422,76.26666666666668,70.75,7.2,8.38,1.2
KK Ahmed,10.42,,8.21,91,8.77,76,45.637583892617414,,45.73378839590444,40.26666666666668,44.34,8.21,10.42,2.2
KK Cooper,8.82,,,33,7.89,25,,,73.03754266211604,63.73333333333335,67.92,8.82,8.82,0.0
KV Sharma,,8.43,,82,8.47,87,,43.97163120567373,,48.26666666666665,47.19,8.43,8.43,0.0
Kartik Tyagi,10.31,,10.25,33,9.55,33,0.0,,47.61092150170646,19.46666666666664,26.29,10.25,10.31,0.1
Kuldeep Yadav,8.53,8.16,,111,8.21,107,,50.35460992907798,77.9863481228669,55.19999999999999,64.24,8.16,8.53,0.4
L Balaji,10.11,6.86,6.83,76,7.93,73,76.51006711409394,81.08747044917254,51.02389078498294,62.666666666666686,66.19,6.83,10.11,3.3
L Ngidi,8.69,,7.83,42,8.19,27,54.13870246085011,,75.25597269624575,55.73333333333335,64.04,7.83,8.69,0.9
LH Ferguson,10.45,7.67,8.97,54,8.88,52,28.635346756152103,61.93853427895979,45.22184300341297,37.333333333333314,44.43,7.67,10.45,2.8
M Ashwin,,7.62,,35,7.93,44,,63.12056737588651,,62.666666666666686,62.78,7.62,7.62,0.0
M Jansen,10.98,9.25,8.71,45,9.27,47,34.45190156599551,24.586288416075632,36.177474402730354,26.933333333333337,32.76,8.71,10.98,2.3
M Kartik,8.03,7.02,,31,7.13,55,,77.30496453900707,86.51877133105802,84.00000000000003,83.46,7.02,8.03,1.0
M Markande,,8.83,,36,9.1,40,,34.51536643026003,,31.46666666666667,32.23,8.83,8.83,0.0
M Morkel,9.09,7.55,6.83,77,7.52,70,76.51006711409394,64.77541371158392,68.43003412969284,73.60000000000002,69.94,6.83,9.09,2.3
M Muralitharan,7.99,6.4,,64,6.68,66,,91.96217494089834,87.20136518771332,96.00000000000003,91.03,6.4,7.99,1.6
M Pathirana,8.69,7.2,,47,8.02,33,,73.0496453900709,75.25597269624575,60.26666666666668,70.21,7.2,8.69,1.5
M Prasidh Krishna,10.25,8.03,8.01,91,8.74,78,50.11185682326621,53.42789598108746,48.634812286689424,41.06666666666666,50.28,8.01,10.25,2.2
M Theekshana,8.5,7.75,8.54,36,8.16,38,38.255033557047,60.04728132387706,78.49829351535837,56.53333333333333,61.81,7.75,8.54,0.8
MA Starc,8.77,,8.62,76,8.52,56,36.46532438478749,,73.89078498293514,46.933333333333366,55.92,8.62,8.77,0.2
MC Henriques,,7.78,,42,8.01,60,,59.33806146572101,,60.53333333333336,60.23,7.78,7.78,0.0
MG Johnson,9.3,7.67,7.61,62,8.04,54,59.06040268456374,61.93853427895979,64.84641638225256,59.73333333333338,62.38,7.61,9.3,1.7
MJ McClenaghan,8.9,,7.61,71,8.15,56,59.06040268456374,,71.67235494880546,56.80000000000001,64.17,7.61,8.9,1.3
MJ Santner,,6.91,,29,7.34,35,,79.90543735224585,,78.4,78.78,6.91,6.91,0.0
MM Ali,,7.36,,41,7.17,57,,69.26713947990541,,82.93333333333334,79.52,7.36,7.36,0.0
MM Patel,10.11,6.14,7.0,74,7.45,63,72.70693512304251,98.10874704491727,51.02389078498294,75.46666666666667,69.3,6.14,10.11,4.0
