batter,bowler,runs,balls,fours,sixes,dismissals
A Ashish Reddy,A Nehra,7,8,1,0,1
A Ashish Reddy,AB Dinda,9,7,1,0,0
A Ashish Reddy,AD Mathews,25,12,1,2,0
A Ashish Reddy,AD Russell,4,3,0,0,0
A Ashish Reddy,Anureet Singh,2,2,0,0,0
A Ashish Reddy,Azhar Mahmood,2,3,0,0,0
A Ashish Reddy,B Kumar,1,1,0,0,0
A Ashish Reddy,BW Hilfenhaus,2,2,0,0,1
A Ashish Reddy,CH Morris,11,5,0,1,0
A Ashish Reddy,DJ Bravo,24,13,3,1,1
A Ashish Reddy,Harbhajan Singh,11,8,0,1,0
A Ashish Reddy,Imran Tahir,2,2,0,0,0
A Ashish Reddy,J Botha,0,2,0,0,0
A Ashish Reddy,JEC Franklin,3,3,0,0,0
A Ashish Reddy,JP Duminy,1,1,0,0,0
A Ashish Reddy,JP Faulkner,2,2,0,0,0
A Ashish Reddy,KA Pollard,3,3,0,0,1
A Ashish Reddy,KK Cooper,8,5,1,0,0
A Ashish Reddy,M Kartik,6,8,0,0,0
A Ashish Reddy,M Morkel,5,5,0,0,1
A Ashish Reddy,MG Johnson,7,3,1,0,0
A Ashish Reddy,MM Patel,0,2,0,0,1
A Ashish Reddy,MM Sharma,7,2,0,1,0
A Ashish Reddy,MR Marsh,3,3,0,0,0
A Ashish Reddy,MS Gony,5,4,1,0,0
A Ashish Reddy,NM Coulter-Nile,0,1,0,0,0
A Ashish Reddy,P Awana,0,2,0,0,1
A Ashish Reddy,P Kumar,6,4,1,0,0
A Ashish Reddy,PP Chawla,2,2,0,0,0
A Ashish Reddy,PV Tambe,3,4,0,0,0
A Ashish Reddy,Parvez Rasool,18,9,2,1,0
A Ashish Reddy,R Vinay Kumar,14,10,0,1,2
A Ashish Reddy,RJ Peterson,7,5,0,1,0
A Ashish Reddy,RP Singh,1,2,0,0,1
A Ashish Reddy,SL Malinga,3,4,0,0,0
A Ashish Reddy,SMSM Senanayake,3,4,0,0,1
A Ashish Reddy,SP Narine,1,1,0,0,0
A Ashish Reddy,SR Watson,3,5,0,0,1
A Ashish Reddy,STR Binny,4,4,0,0,1
A Ashish Reddy,SW Tait,10,4,2,0,0
A Ashish Reddy,Sandeep Sharma,13,3,0,2,0
A Ashish Reddy,TG Southee,9,4,0,1,0
A Ashish Reddy,UT Yadav,20,9,2,1,0
A Ashish Reddy,YS Chahal,13,7,0,2,0
A Badoni,A Zampa,2,3,0,0,1
A Badoni,AD Russell,22,13,0,1,0
A Badoni,AR Patel,11,11,0,0,0
A Badoni,AS Joseph,5,4,1,0,0
A Badoni,AS Roy,22,11,1,2,1
A Badoni,Akash Madhwal,0,4,0,0,1
A Badoni,Arshdeep Singh,21,19,2,0,1
A Badoni,Ashok Sharma,5,2,1,0,0
A Badoni,Ashwani Kumar,4,2,1,0,1
A Badoni,Avesh Khan,2,2,0,0,0
A Badoni,Azmatullah Omarzai,45,21,3,4,0
A Badoni,B Kumar,4,4,0,0,0
A Badoni,C Bosch,6,6,1,0,0
A Badoni,C Green,2,2,0,0,0
A Badoni,C Sakariya,13,4,0,2,1
A Badoni,CV Varun,20,19,1,1,1
A Badoni,DG Nalkande,2,1,0,0,0
