match_id,season,date,venue,team1,team2,winner,margin_type,margin_val,toss_winner,toss_decision,potm
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,35.0,Royal Challengers Bangalore,field,Yuvraj Singh
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,wickets,7.0,Rising Pune Supergiant,field,SPD Smith
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,wickets,10.0,Kolkata Knight Riders,field,CA Lynn
1082594,2017,2017-04-08,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,wickets,6.0,Kings XI Punjab,field,GJ Maxwell
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,runs,15.0,Royal Challengers Bangalore,bat,KM Jadhav
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,wickets,9.0,Sunrisers Hyderabad,field,Rashid Khan
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,4.0,Mumbai Indians,field,N Rana
1082598,2017,2017-04-10,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,8.0,Royal Challengers Bangalore,bat,AR Patel
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,runs,97.0,Rising Pune Supergiant,field,SV Samson
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,4.0,Mumbai Indians,field,JJ Bumrah
1082601,2017,2017-04-13,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,8.0,Kolkata Knight Riders,field,SP Narine
