venue,phase,runs_c,balls,run_rate,boundary_rate,wickets,pitch_type
Arun Jaitley Stadium,Death,1173,741,9.5,19.7,58,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Arun Jaitley Stadium,Middle,1842,1494,7.4,13.25,71,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Arun Jaitley Stadium,Powerplay,1411,1020,8.3,21.67,41,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Arun Jaitley Stadium, Delhi",Death,2790,1576,10.62,24.56,124,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Arun Jaitley Stadium, Delhi",Middle,4596,3185,8.66,17.65,138,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Arun Jaitley Stadium, Delhi",Powerplay,3418,2169,9.46,26.88,84,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Barabati Stadium,Death,672,394,10.23,21.32,33,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Barabati Stadium,Middle,960,756,7.62,13.36,27,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Barabati Stadium,Powerplay,590,504,7.02,19.05,20,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Barsapara Cricket Stadium, Guwahati",Death,556,354,9.42,19.21,25,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Barsapara Cricket Stadium, Guwahati",Middle,1057,799,7.94,14.89,47,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Barsapara Cricket Stadium, Guwahati",Powerplay,912,576,9.5,27.08,28,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Death,2376,1472,9.68,20.79,120,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Middle,4101,3078,7.99,15.4,142,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Powerplay,2867,2056,8.37,21.69,83,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Brabourne Stadium,Death,984,565,10.45,22.3,50,⚖️ Balanced Pitch (Standard bounce & boundaries)
Brabourne Stadium,Middle,1390,1080,7.72,13.8,51,⚖️ Balanced Pitch (Standard bounce & boundaries)
Brabourne Stadium,Powerplay,964,720,8.03,21.67,19,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Brabourne Stadium, Mumbai",Death,1447,884,9.82,22.29,80,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Brabourne Stadium, Mumbai",Middle,2427,1767,8.24,16.24,82,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Brabourne Stadium, Mumbai",Powerplay,1714,1224,8.4,23.69,48,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Buffalo Park,Death,226,143,9.48,20.98,13,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Buffalo Park,Middle,314,322,5.85,7.76,15,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Buffalo Park,Powerplay,219,216,6.08,12.96,10,"🌀 Slower Pitch (Spinner friendly, low bounce)"
De Beers Diamond Oval,Death,271,166,9.8,18.07,13,"🌀 Slower Pitch (Spinner friendly, low bounce)"
De Beers Diamond Oval,Middle,370,324,6.85,10.49,15,"🌀 Slower Pitch (Spinner friendly, low bounce)"
De Beers Diamond Oval,Powerplay,231,216,6.42,14.81,10,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Dr DY Patil Sports Academy,Death,1177,807,8.75,16.98,70,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Dr DY Patil Sports Academy,Middle,2050,1801,6.83,12.1,88,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Dr DY Patil Sports Academy,Powerplay,1361,1223,6.68,16.84,57,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Dr DY Patil Sports Academy, Mumbai",Death,1718,1087,9.48,21.07,101,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Dr DY Patil Sports Academy, Mumbai",Middle,2796,2160,7.77,14.26,87,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Dr DY Patil Sports Academy, Mumbai",Powerplay,1751,1440,7.3,18.4,65,⚖️ Balanced Pitch (Standard bounce & boundaries)
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Death,1038,652,9.55,20.55,65,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Middle,1573,1362,6.93,11.67,63,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Powerplay,1033,936,6.62,16.13,33,"🌀 Slower Pitch (Spinner friendly, low bounce)"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Death,314,189,9.97,23.28,19,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Middle,718,432,9.97,22.22,23,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Powerplay,439,288,9.15,25.0,16,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Dubai International Cricket Stadium,Death,3907,2513,9.33,19.06,201,⚖️ Balanced Pitch (Standard bounce & boundaries)
Dubai International Cricket Stadium,Middle,5958,4952,7.22,12.1,203,⚖️ Balanced Pitch (Standard bounce & boundaries)
Dubai International Cricket Stadium,Powerplay,4053,3351,7.26,17.88,140,⚖️ Balanced Pitch (Standard bounce & boundaries)
Eden Gardens,Death,5955,3815,9.37,20.1,298,⚖️ Balanced Pitch (Standard bounce & boundaries)
Eden Gardens,Middle,10107,8074,7.51,14.28,359,⚖️ Balanced Pitch (Standard bounce & boundaries)
Eden Gardens,Powerplay,6846,5538,7.42,20.08,216,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Eden Gardens, Kolkata",Death,2707,1462,11.11,27.63,111,"🏏 Batting Paradise (Fast outfield, small boundaries)"
